Annual Income (k$),Spending Score (1-100)
77.51556083598904,95.26692164013207
67.87569038434444,48.18722175617047
53.29066525029408,65.22614635863187
96.01359814487842,42.58390085957517
32.43863615664546,78.95527333914451
61.48924762071465,62.12412120719984
50.44095404873177,51.58926744219927
89.92393734616624,19.756386232239628
52.13883508478085,95.84055931202562
33.535791745031574,34.66642643028461
90.4689448232066,40.595979032462076
103.29837496315812,35.6442854775176
69.81449872846107,7.05528225589299
75.1392972811212,30.047159738580852
108.08019689467633,25.224715213835427
84.77620188594614,55.25237849005116
113.83215266703147,66.41675195713995
64.68637747517968,89.32535951267222
0.0,37.02549136170786
64.47659385943355,50.47008076763291
71.51328409311591,47.58369906027169
55.53115199843832,0.0
52.56832999075833,42.15165833024632
61.665023823778554,70.79621706113302
41.42542571238802,73.51172229990637
127.2636106240608,25.41148520614539
83.22572051226636,81.47186538627545
6.473485491613999,19.13984083958946
3.4604516271583066,79.22574755928683
95.18690425203997,32.099543677712596
64.47416521728569,74.32944607989683
61.6902108157072,43.297440858045604
49.17194870881127,51.02077081579954
77.94079796137571,75.934209448856
52.765661146236056,70.10622775019411
35.350503868390575,78.06322824807856
48.76588544961255,35.82781263512153
20.148227579455202,100.0
65.02038516452406,51.773641171741204
79.78296119526186,67.90589360597298
71.0512950617289,39.90318517100006
117.78529420358151,21.593898037981553
12.15845579020558,24.5359977463338
96.26986784672948,29.391578880171796
45.13820522516467,14.634128588078177
91.75848930560358,75.93830441329756
41.09391766070265,54.5496556582276
96.05799672057942,45.7274368904156
39.41285481049441,36.88182275103877
63.668912530010225,22.31392621258699
70.9624780971188,56.80044468805765
90.26793438323378,47.874033965684305
48.54344729949875,59.83301942622707
43.036338504316014,65.46306395591704
61.90410092493762,37.10180700389344
15.100300640057952,50.5398786726288
36.65121505849532,17.744116617214743
108.468258308137,40.27089674441308
107.11714716372643,56.891114319989235
50.09264814034873,55.518858844338666
46.62237649511651,26.574067838780074
69.95797791960469,19.624536970062163
52.94304131175423,50.34196749421246
32.05832747428289,76.45016873354274
51.92756027843327,39.01574550123891
44.24619059899666,40.259113013597144
40.670472838416124,25.812623679061744
83.74466694538282,63.11577263138342
53.40483028823704,73.2856838126733
50.08904285757889,67.86178461666313
45.27944412300517,51.52955579973037
109.61750099209468,25.802484127890104
46.19844432648415,66.04611059041359
53.29956738760894,22.45207015209211
30.941522533116093,8.54119501480303
53.132196777823594,39.404633385811344
59.248689616157975,84.65950178758774
89.45542170188628,63.17164818499285
50.32483592635319,68.8935934207343
70.67389383558495,8.755748417385782
69.73789378179208,66.57913349375198
47.10689943751107,37.438562449735855
58.59899635260168,16.63235200130127
34.6019919251727,27.386053879842827
34.00525910109387,53.381505893261945
67.50071283684656,44.74063156784969
7.247541956958074,52.0938183015294
89.5320527119875,8.11356795219222
20.048173357582527,55.22801808854276
32.25852382028452,36.55598689928899
52.30932379778338,44.33177835955669
32.71392176130834,64.6330455219228
57.9821295849274,0.0
100.28964975829133,57.298773721736005
33.27980160464693,76.58861374259465
79.6163785162267,20.316914413086938
37.44956572963824,60.28883102024099
30.480213725314844,40.92525849914334
32.23549385743043,45.80395393201413
0.0,44.22679883206855
99.64745206956349,65.3175986977886
60.38602403102617,100.0
70.09212407590813,65.3987490518571
8.666791637585014,93.18250243277907
56.759365729538935,88.653138820566
10.824700158786506,13.281998241680647
70.1586497033266,13.650173069732972
25.51515667780174,59.41737494939957
51.828467783490346,0.0
67.21322062934537,58.20441694966188
81.89211553254364,73.86444033166494
95.18881720341523,87.22027130655744
11.05847750811543,91.6672109658933
66.84907902847985,33.068180760707904
65.93645310143941,13.224579825524017
87.41245669973505,25.391805899585464
30.575014852417848,43.78213187541175
39.14151762881629,38.542301247604215
29.976441205038956,11.309125152068432
10.848798215440318,38.466544529635094
35.151091966980985,44.54693870821058
30.402065362438062,66.02476585051471
100.09033415783554,79.5426975436593
59.64348917389739,100.0
39.83831407738935,65.2556670020698
77.67071128438852,54.770167961010834
80.71108569191996,0.0
45.42912205796799,37.05671356376011
64.9579257898363,53.97249457780946
32.36111983541737,47.14800547283769
35.47488473471137,83.97793296228622
104.77016216258872,19.825280756505187
4.630225200176952,62.48059225434506
65.88806431884237,67.46008802707425
83.72284233274806,50.98531400438867
34.86014393253494,13.473814318095563
65.02193300056261,31.611333825479573
47.938432435143895,27.848315888358087
60.108827960199505,54.491695577529995
57.112559007328564,69.74747442057536
53.44209464248703,95.89334137564119
78.39182674340228,36.63059979047825
110.52287699710814,59.73819103376314
104.39261059577879,1.7438251399290223
26.5362607398896,3.1702492733538747
82.48624872929403,18.612941652507036
83.33561359481254,63.176605489658556
84.9981128794305,74.36968091735376
82.71251251274909,17.815390647654283
65.08436525770874,27.114393993028862
48.213237819828834,33.5949237217
58.3566905253664,41.32953542270495
97.78821353901975,54.34525258888805
83.00933196543372,97.60286463436131
114.0316854967637,60.133712511821
83.51028967307873,43.341546167393545
29.14991985373735,72.49786558537377
57.42052831676646,82.6392807736392
76.18879591381209,57.31334146158629
75.12463784636142,55.32414021846591
45.3794321847742,50.73718011441578
69.9147888296981,75.97870487048478
56.166699741106925,65.67309770642406
57.931701698083344,74.09230216928708
29.1968020279526,79.74457813132823
87.92787324753814,75.26273654189798
92.7252118157725,52.80196559635274
34.42030484010651,63.48120046318347
87.14996478380871,93.30537606428335
73.43164195520897,71.32310466116579
49.3800315078583,50.37072090051995
81.68794408613158,64.01387230678593
15.251246267182367,26.744678462058996
50.81811463969807,14.61883497392116
66.92141747436347,17.917401117260177
32.68556766471016,50.461025478523915
43.88195193428789,90.29749200534334
42.95988549173235,95.87746259504547
45.753429237686504,48.900301914457195
100.05603230394854,65.17016696336451
74.46740309789442,42.20709092909053
59.363841683870795,44.24448876327362
52.08298659072035,0.0
35.780885085197355,39.64745713562051
21.389090134608537,49.252626087916184
39.79343641850018,41.60411195076041
84.0249314373614,67.59120892485574
29.73337980437235,90.53352679708593
96.62816942884453,17.035237510761
53.58798767590578,41.847505408597165
17.088926982854147,97.07790542602652
63.43917819116571,87.34386687546701
68.65794124792207,67.91375404383625
32.007729559251665,68.51690176725192
68.40801478256641,60.06930801155362
15.609144158369055,38.71558144000075
68.0318488393008,100.0
25.595822523077914,17.21741292833476
78.63130065893264,56.053149308661105
22.666298254854937,51.872608244115575
31.97304612913749,61.01065912848645
81.65171233864437,82.31050712122568
53.4533383175047,58.97153209184772
21.07477443900507,52.85913756381644
80.94362204020703,73.58663629655358
98.17045094063664,22.811270408999697
26.86140384520231,46.476139794473795
51.908496793656,39.246482960153486
43.59313050040894,40.40884713007699
53.8472376801531,57.909040501276834
66.76449958578657,56.65943698037445
57.55251160792886,4.8430557059712385
149.27589505696557,36.780168256514074
